user_id,height,weight,bust,waist,hips,bust_to_waist,waist_to_hip,bust_to_hip,body_shape
user001,188,73,90,76,107,1.1842105263157894,0.7102803738317757,0.8411214953271028,pear
user002,170,83,103,97,91,1.0618556701030928,1.065934065934066,1.1318681318681318,apple
user003,185,84,82,73,78,1.1232876712328768,0.9358974358974359,1.0512820512820513,rectangle
user004,173,88,90,89,81,1.0112359550561798,1.0987654320987654,1.1111111111111112,apple
user005,182,56,96,88,91,1.0909090909090908,0.967032967032967,1.054945054945055,apple
user006,176,86,95,88,96,1.0795454545454546,0.9166666666666666,0.9895833333333334,rectangle
user007,152,81,86,76,100,1.131578947368421,0.76,0.86,pear
user008,188,62,104,96,100,1.0833333333333333,0.96,1.04,rectangle
user009,158,70,86,65,86,1.323076923076923,0.7558139534883721,1.0,hourglass
user010,157,91,93,80,103,1.1625,0.7766990291262136,0.9029126213592233,pear
user011,189,48,90,85,76,1.0588235294117647,1.118421052631579,1.1842105263157894,apple
user012,153,73,81,68,100,1.1911764705882353,0.68,0.81,pear
user013,183,54,88,81,77,1.0864197530864197,1.051948051948052,1.1428571428571428,apple
user014,189,65,92,86,91,1.069767441860465,0.945054945054945,1.010989010989011,rectangle
user015,173,70,97,82,94,1.1829268292682926,0.8723404255319149,1.0319148936170213,hourglass
user016,174,51,85,63,85,1.3492063492063493,0.7411764705882353,1.0,hourglass
user017,173,55,80,68,97,1.1764705882352942,0.7010309278350515,0.8247422680412371,pear
user018,184,77,84,73,103,1.1506849315068493,0.7087378640776699,0.8155339805825242,pear
user019,177,51,92,76,92,1.2105263157894737,0.8260869565217391,1.0,hourglass
user020,182,92,86,72,103,1.1944444444444444,0.6990291262135923,0.8349514563106796,pear
user021,184,88,101,94,98,1.074468085106383,0.9591836734693877,1.030612244897959,rectangle
user022,150,79,99,82,101,1.2073170731707317,0.8118811881188119,0.9801980198019802,hourglass
user023,150,49,98,92,85,1.065217391304348,1.0823529411764705,1.1529411764705881,apple
user024,164,59,94,92,83,1.0217391304347827,1.108433734939759,1.1325301204819278,apple
user025,181,48,89,83,78,1.072289156626506,1.064102564102564,1.141025641025641,apple
user026,164,87,88,67,89,1.3134328358208955,0.7528089887640449,0.9887640449438202,hourglass
user027,171,72,94,86,85,1.0930232558139534,1.011764705882353,1.1058823529411765,apple
user028,155,72,91,83,89,1.0963855421686748,0.9325842696629213,1.0224719101123596,rectangle
user029,179,55,102,94,105,1.0851063829787233,0.8952380952380953,0.9714285714285714,rectangle
user030,188,77,104,81,105,1.2839506172839505,0.7714285714285715,0.9904761904761905,hourglass
user031,152,83,92,84,83,1.0952380952380953,1.0120481927710843,1.108433734939759,apple
user032,182,86,103,96,103,1.0729166666666667,0.9320388349514563,1.0,rectangle
user033,181,76,88,80,83,1.1,0.963855421686747,1.0602409638554218,rectangle
user034,161,83,87,87,78,1.0,1.1153846153846154,1.1153846153846154,apple
user035,166,93,86,81,75,1.0617283950617284,1.08,1.1466666666666667,apple
user036,186,76,85,69,84,1.2318840579710144,0.8214285714285714,1.0119047619047619,hourglass
user037,175,76,88,82,76,1.0731707317073171,1.0789473684210527,1.1578947368421053,apple
user038,166,82,84,76,80,1.105263157894737,0.95,1.05,rectangle
user039,155,66,94,84,104,1.119047619047619,0.8076923076923077,0.9038461538461539,pear
user040,155,60,87,69,87,1.2608695652173914,0.7931034482758621,1.0,hourglass
user041,168,70,94,81,106,1.1604938271604939,0.7641509433962265,0.8867924528301887,pear
user042,181,51,88,83,90,1.0602409638554218,0.9222222222222223,0.9777777777777777,rectangle
user043,188,62,80,73,83,1.095890410958904,0.8795180722891566,0.963855421686747,rectangle
user044,174,94,94,82,113,1.146341463414634,0.7256637168141593,0.831858407079646,pear
user045,156,60,100,92,92,1.0869565217391304,1.0,1.0869565217391304,apple
user046,151,45,91,82,90,1.1097560975609757,0.9111111111111111,1.011111111111111,rectangle
user047,181,53,87,70,86,1.2428571428571429,0.813953488372093,1.0116279069767442,hourglass
user048,169,68,85,78,77,1.0897435897435896,1.0129870129870129,1.103896103896104,apple
user049,160,93,83,75,80,1.1066666666666667,0.9375,1.0375,rectangle
user050,174,79,102,86,104,1.186046511627907,0.8269230769230769,0.9807692307692307,hourglass
user051,151,79,88,80,83,1.1,0.963855421686747,1.0602409638554218,rectangle
user052,153,77,100,97,88,1.0309278350515463,1.1022727272727273,1.1363636363636365,apple
user053,157,51,80,67,90,1.1940298507462686,0.7444444444444445,0.8888888888888888,pear
user054,171,66,90,85,83,1.0588235294117647,1.0240963855421688,1.0843373493975903,apple
user055,157,71,81,71,95,1.1408450704225352,0.7473684210526316,0.8526315789473684,pear
user056,177,91,80,71,77,1.1267605633802817,0.922077922077922,1.0389610389610389,rectangle
user057,153,79,96,91,95,1.054945054945055,0.9578947368421052,1.0105263157894737,rectangle
user058,155,79,88,79,90,1.1139240506329113,0.8777777777777778,0.9777777777777777,rectangle
user059,178,93,87,87,79,1.0,1.1012658227848102,1.1012658227848102,apple
user060,170,76,80,69,92,1.1594202898550725,0.75,0.8695652173913043,pear
user061,174,86,85,73,104,1.1643835616438356,0.7019230769230769,0.8173076923076923,pear
user062,189,90,97,91,102,1.065934065934066,0.8921568627450981,0.9509803921568627,rectangle
user063,151,70,92,69,89,1.3333333333333333,0.7752808988764045,1.0337078651685394,hourglass
user064,188,73,87,86,74,1.0116279069767442,1.162162162162162,1.1756756756756757,apple
user065,173,57,86,81,84,1.0617283950617284,0.9642857142857143,1.0238095238095237,rectangle
user066,169,45,93,85,90,1.0941176470588236,0.9444444444444444,1.0333333333333334,rectangle
user067,172,59,81,75,82,1.08,0.9146341463414634,0.9878048780487805,rectangle
user068,171,69,101,98,87,1.030612244897959,1.1264367816091954,1.160919540229885,apple
user069,155,59,95,91,90,1.043956043956044,1.011111111111111,1.0555555555555556,apple
user070,157,88,84,76,84,1.105263157894737,0.9047619047619048,1.0,rectangle
user071,181,74,82,69,98,1.1884057971014492,0.7040816326530612,0.8367346938775511,pear
user072,165,57,94,92,89,1.0217391304347827,1.0337078651685394,1.0561797752808988,apple
user073,168,72,89,80,80,1.1125,1.0,1.1125,apple
user074,172,53,100,95,104,1.0526315789473684,0.9134615384615384,0.9615384615384616,rectangle
user075,150,91,100,92,88,1.0869565217391304,1.0454545454545454,1.1363636363636365,apple
user076,150,60,91,72,94,1.2638888888888888,0.7659574468085106,0.9680851063829787,hourglass
user077,171,73,82,70,101,1.1714285714285715,0.693069306930693,0.8118811881188119,pear
user078,186,66,98,79,98,1.240506329113924,0.8061224489795918,1.0,hourglass
user079,179,90,104,100,90,1.04,1.1111111111111112,1.1555555555555554,apple
user080,175,92,91,76,91,1.1973684210526316,0.8351648351648352,1.0,hourglass
user081,179,81,89,75,108,1.1866666666666668,0.6944444444444444,0.8240740740740741,pear
user082,185,78,89,83,86,1.072289156626506,0.9651162790697675,1.0348837209302326,rectangle
user083,181,45,84,75,82,1.12,0.9146341463414634,1.024390243902439,rectangle
user084,165,68,102,96,97,1.0625,0.9896907216494846,1.0515463917525774,rectangle
user085,177,76,83,70,100,1.1857142857142857,0.7,0.83,pear
user086,184,77,103,84,102,1.2261904761904763,0.8235294117647058,1.0098039215686274,hourglass
user087,161,47,85,69,83,1.2318840579710144,0.8313253012048193,1.0240963855421688,hourglass
user088,184,67,92,68,93,1.3529411764705883,0.7311827956989247,0.989247311827957,hourglass
user089,159,70,86,84,73,1.0238095238095237,1.1506849315068493,1.178082191780822,apple
user090,156,48,102,95,94,1.0736842105263158,1.0106382978723405,1.0851063829787233,apple
user091,174,65,88,69,86,1.2753623188405796,0.8023255813953488,1.0232558139534884,hourglass
user092,158,68,82,77,79,1.0649350649350648,0.9746835443037974,1.0379746835443038,rectangle
user093,185,62,91,72,94,1.2638888888888888,0.7659574468085106,0.9680851063829787,hourglass
user094,161,93,92,82,108,1.1219512195121952,0.7592592592592593,0.8518518518518519,pear
user095,184,85,101,101,93,1.0,1.086021505376344,1.086021505376344,apple
user096,174,66,103,85,100,1.2117647058823529,0.85,1.03,hourglass
user097,161,85,91,78,109,1.1666666666666667,0.7155963302752294,0.8348623853211009,pear
user098,163,75,99,92,103,1.076086956521739,0.8932038834951457,0.9611650485436893,rectangle
user099,165,49,91,78,109,1.1666666666666667,0.7155963302752294,0.8348623853211009,pear
user100,170,80,100,79,97,1.2658227848101267,0.8144329896907216,1.0309278350515463,hourglass
user101,188,58,89,77,103,1.155844155844156,0.7475728155339806,0.8640776699029126,pear
user102,172,73,90,77,101,1.1688311688311688,0.7623762376237624,0.8910891089108911,pear
user103,158,54,96,96,86,1.0,1.1162790697674418,1.1162790697674418,apple
user104,156,90,92,69,90,1.3333333333333333,0.7666666666666667,1.0222222222222221,hourglass
user105,176,46,89,72,91,1.2361111111111112,0.7912087912087912,0.978021978021978,hourglass
user106,157,92,85,67,87,1.2686567164179106,0.7701149425287356,0.9770114942528736,hourglass
user107,166,51,97,79,97,1.2278481012658229,0.8144329896907216,1.0,hourglass
user108,155,75,92,80,107,1.15,0.7476635514018691,0.8598130841121495,pear
user109,159,70,86,72,98,1.1944444444444444,0.7346938775510204,0.8775510204081632,pear
user110,162,94,99,91,101,1.0879120879120878,0.900990099009901,0.9801980198019802,rectangle
user111,188,45,92,79,110,1.1645569620253164,0.7181818181818181,0.8363636363636363,pear
user112,174,77,90,81,81,1.1111111111111112,1.0,1.1111111111111112,apple
user113,165,65,91,78,105,1.1666666666666667,0.7428571428571429,0.8666666666666667,pear
user114,184,63,104,98,107,1.0612244897959184,0.9158878504672897,0.9719626168224299,rectangle
user115,163,59,80,68,94,1.1764705882352942,0.723404255319149,0.851063829787234,pear
user116,165,67,95,71,95,1.3380281690140845,0.7473684210526316,1.0,hourglass
user117,181,60,85,77,87,1.103896103896104,0.8850574712643678,0.9770114942528736,rectangle
user118,177,52,88,79,76,1.1139240506329113,1.0394736842105263,1.1578947368421053,apple
user119,177,72,93,73,93,1.273972602739726,0.7849462365591398,1.0,hourglass
user120,166,53,104,87,105,1.1954022988505748,0.8285714285714286,0.9904761904761905,hourglass
user121,155,62,84,73,102,1.1506849315068493,0.7156862745098039,0.8235294117647058,pear
user122,159,74,97,93,86,1.043010752688172,1.0813953488372092,1.127906976744186,apple
user123,182,45,99,99,90,1.0,1.1,1.1,apple
user124,175,69,101,101,95,1.0,1.063157894736842,1.063157894736842,apple
user125,184,45,100,80,103,1.25,0.7766990291262136,0.970873786407767,hourglass
user126,177,61,89,72,91,1.2361111111111112,0.7912087912087912,0.978021978021978,hourglass
user127,172,81,89,65,87,1.3692307692307693,0.7471264367816092,1.0229885057471264,hourglass
user128,168,61,98,83,95,1.180722891566265,0.8736842105263158,1.0315789473684212,hourglass
user129,162,48,85,85,73,1.0,1.1643835616438356,1.1643835616438356,apple
user130,181,78,87,81,91,1.0740740740740742,0.8901098901098901,0.9560439560439561,rectangle
user131,183,47,81,68,91,1.1911764705882353,0.7472527472527473,0.8901098901098901,pear
user132,154,74,101,95,92,1.063157894736842,1.0326086956521738,1.0978260869565217,apple
user133,170,58,95,93,84,1.021505376344086,1.1071428571428572,1.130952380952381,apple
user134,187,78,102,101,96,1.00990099009901,1.0520833333333333,1.0625,apple
user135,179,59,82,69,93,1.1884057971014492,0.7419354838709677,0.8817204301075269,pear
user136,187,77,94,86,95,1.0930232558139534,0.9052631578947369,0.9894736842105263,rectangle
user137,166,49,88,66,86,1.3333333333333333,0.7674418604651163,1.0232558139534884,hourglass
user138,166,54,104,88,105,1.1818181818181819,0.8380952380952381,0.9904761904761905,hourglass
user139,155,46,95,78,94,1.2179487179487178,0.8297872340425532,1.0106382978723405,hourglass
user140,172,60,90,77,105,1.1688311688311688,0.7333333333333333,0.8571428571428571,pear
user141,189,48,104,97,101,1.0721649484536082,0.9603960396039604,1.0297029702970297,rectangle
user142,176,73,97,88,101,1.1022727272727273,0.8712871287128713,0.9603960396039604,rectangle
user143,168,65,102,78,102,1.3076923076923077,0.7647058823529411,1.0,hourglass
user144,171,65,85,81,72,1.0493827160493827,1.125,1.1805555555555556,apple
user145,161,70,86,86,72,1.0,1.1944444444444444,1.1944444444444444,apple
user146,176,53,99,91,89,1.0879120879120878,1.0224719101123596,1.1123595505617978,apple
user147,179,87,92,81,102,1.1358024691358024,0.7941176470588235,0.9019607843137255,pear
user148,185,45,96,89,94,1.0786516853932584,0.9468085106382979,1.0212765957446808,rectangle
user149,164,91,87,76,102,1.144736842105263,0.7450980392156863,0.8529411764705882,pear
user150,177,67,86,77,74,1.1168831168831168,1.0405405405405406,1.162162162162162,apple
user151,156,47,86,75,97,1.1466666666666667,0.7731958762886598,0.8865979381443299,pear
user152,187,79,94,80,112,1.175,0.7142857142857143,0.8392857142857143,pear
user153,177,54,88,77,98,1.1428571428571428,0.7857142857142857,0.8979591836734694,pear
user154,174,61,104,86,101,1.2093023255813953,0.8514851485148515,1.0297029702970297,hourglass
user155,159,47,97,79,95,1.2278481012658229,0.8315789473684211,1.0210526315789474,hourglass
user156,171,78,87,77,104,1.12987012987013,0.7403846153846154,0.8365384615384616,pear
user157,168,86,89,71,91,1.2535211267605635,0.7802197802197802,0.978021978021978,hourglass
user158,175,78,87,73,102,1.1917808219178083,0.7156862745098039,0.8529411764705882,pear
user159,182,66,90,69,92,1.3043478260869565,0.75,0.9782608695652174,hourglass
user160,153,74,93,83,110,1.1204819277108433,0.7545454545454545,0.8454545454545455,pear
user161,152,75,84,76,86,1.105263157894737,0.8837209302325582,0.9767441860465116,rectangle
user162,180,50,104,101,94,1.0297029702970297,1.074468085106383,1.1063829787234043,apple
user163,179,82,93,82,111,1.1341463414634145,0.7387387387387387,0.8378378378378378,pear
user164,164,55,98,89,97,1.101123595505618,0.9175257731958762,1.0103092783505154,rectangle
user165,155,70,88,86,80,1.0232558139534884,1.075,1.1,apple
user166,182,64,96,81,99,1.1851851851851851,0.8181818181818182,0.9696969696969697,hourglass
user167,175,58,85,76,90,1.118421052631579,0.8444444444444444,0.9444444444444444,rectangle
user168,185,57,82,71,92,1.1549295774647887,0.7717391304347826,0.8913043478260869,pear
user169,159,49,89,75,100,1.1866666666666668,0.75,0.89,pear
user170,189,46,80,71,83,1.1267605633802817,0.8554216867469879,0.963855421686747,rectangle
user171,166,53,94,82,111,1.146341463414634,0.7387387387387387,0.8468468468468469,pear
user172,179,75,89,73,91,1.2191780821917808,0.8021978021978022,0.978021978021978,hourglass
user173,163,55,86,69,86,1.2463768115942029,0.8023255813953488,1.0,hourglass
user174,184,45,101,93,103,1.086021505376344,0.9029126213592233,0.9805825242718447,rectangle
user175,160,85,98,81,98,1.2098765432098766,0.826530612244898,1.0,hourglass
user176,170,81,103,79,102,1.3037974683544304,0.7745098039215687,1.0098039215686274,hourglass
user177,153,69,94,78,91,1.205128205128205,0.8571428571428571,1.032967032967033,hourglass
user178,189,52,87,73,99,1.1917808219178083,0.7373737373737373,0.8787878787878788,pear
user179,187,77,94,84,104,1.119047619047619,0.8076923076923077,0.9038461538461539,pear
user180,166,77,86,72,97,1.1944444444444444,0.7422680412371134,0.8865979381443299,pear
user181,189,84,86,74,98,1.162162162162162,0.7551020408163265,0.8775510204081632,pear
user182,156,52,104,104,96,1.0,1.0833333333333333,1.0833333333333333,apple
user183,179,83,83,73,98,1.1369863013698631,0.7448979591836735,0.8469387755102041,pear
user184,182,81,86,73,96,1.178082191780822,0.7604166666666666,0.8958333333333334,pear
user185,171,46,89,80,84,1.1125,0.9523809523809523,1.0595238095238095,apple
user186,187,57,94,80,107,1.175,0.7476635514018691,0.8785046728971962,pear
user187,173,59,92,74,93,1.2432432432432432,0.7956989247311828,0.989247311827957,hourglass
user188,161,89,103,101,95,1.0198019801980198,1.063157894736842,1.0842105263157895,apple
user189,185,70,90,77,104,1.1688311688311688,0.7403846153846154,0.8653846153846154,pear
user190,160,54,85,79,90,1.0759493670886076,0.8777777777777778,0.9444444444444444,rectangle
user191,161,70,92,76,94,1.2105263157894737,0.8085106382978723,0.9787234042553191,hourglass
user192,174,77,87,74,100,1.1756756756756757,0.74,0.87,pear
user193,154,81,89,84,93,1.0595238095238095,0.9032258064516129,0.956989247311828,rectangle
user194,158,73,92,84,82,1.0952380952380953,1.024390243902439,1.1219512195121952,apple
user195,160,67,98,79,99,1.240506329113924,0.797979797979798,0.98989898989899,hourglass
user196,175,90,101,96,96,1.0520833333333333,1.0,1.0520833333333333,rectangle
user197,189,59,99,80,96,1.2375,0.8333333333333334,1.03125,hourglass
user198,158,54,104,95,108,1.0947368421052632,0.8796296296296297,0.9629629629629629,rectangle
user199,184,69,95,90,89,1.0555555555555556,1.0112359550561798,1.0674157303370786,apple
user200,156,62,81,69,91,1.173913043478261,0.7582417582417582,0.8901098901098901,pear
